,Molecule ChEMBL ID,Canonical_Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3548,CHEMBL473553,COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)c(OC)c3)c2cc1OC,7.200659450546418,444.1256115,8,1,5.675900000000003,True
3549,CHEMBL503638,CCOC(=O)N1CCN([C@H]2CC[C@H](n3nc(-c4ccc5nc(Cc6ccccc6OC)[nH]c5c4)c4c(N)ncnc43)CC2)CC1,7.522878745280337,609.3175861080001,10,2,4.809000000000003,True
3551,CHEMBL1242666,CC(C)n1nc(-c2ccc3c(C=O)c[nH]c3c2)c2c(N)ncnc21,6.195179321278838,320.138559132,6,2,2.9501999999999997,True
3552,CHEMBL1242663,CC(C)n1nc(-c2cc3ccccc3nc2Cl)c2c(N)ncnc21,4.0,338.10467216000006,6,1,3.8580000000000014,True
3553,CHEMBL1241775,CC(C)n1nc(-c2cnc3nccnc3c2)c2c(N)ncnc21,4.154901959985743,306.13414244800003,8,1,1.9945999999999997,True
3554,CHEMBL1241864,Nc1ncnc2c1c(-c1ccc3[nH]c(=O)ccc3c1)nn2C1CCCC1,5.853871964321762,346.154209196,6,2,3.0321000000000016,True
3555,CHEMBL176309,Nc1ncnc2c1c(-c1cccc(Cl)c1)cn2-c1ccccc1,6.154901959985743,320.082874096,4,1,4.323100000000002,True
3558,CHEMBL1173601,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1Br,5.191789027075778,426.93123584399996,2,1,5.1506000000000025,True
3559,CHEMBL1171822,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(C)cc1,4.713992877920526,346.06396849199996,2,0,4.999420000000004,True
3560,CHEMBL1172419,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1,4.542269451754001,332.04831842799996,2,0,4.691000000000003,True
3561,CHEMBL1173397,COc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(C)=O)cc1,4.8170150329964185,322.16812794399993,3,0,4.009640000000003,True
3562,CHEMBL1095130,Nc1nc(Nc2ccc(Cl)cc2F)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,5.6020599913279625,435.02205667600003,4,3,5.9738000000000016,True
3563,CHEMBL1095463,CC(C)c1ccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)cc1,4.341035157335565,425.117401032,4,3,6.304700000000003,True
3565,CHEMBL529663,COc1cc(C2=C(c3c[nH]c4ccccc34)CNC2=O)cc(OC)c1OC,4.638272163982407,364.14230711999994,4,2,3.234300000000001,True
3569,CHEMBL4464785,COc1ccc(/C=C/C(=O)c2ccc(NC(=O)c3cc4cc5ccccc5nc4s3)cc2)cc1OC,5.795880017344075,494.130028184,6,1,6.615100000000005,True
3570,CHEMBL443523,C=CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,9.346787486224656,368.0272731360001,4,2,4.260400000000002,True
